request_id,event_timestamp,processing_timestamp,endpoint,attempt_number,status,latency_ms,total_latency_ms,found,visited_count,runtime_ms,error_message
183,2025-12-26T15:54:33.261210,2025-12-26T15:54:33.269049,localhost:50052,1,SUCCESS,7.84,7.84,False,0,0.00,
184,2025-12-26T15:54:33.368611,2025-12-26T15:54:33.378489,localhost:50051,1,SUCCESS,9.88,9.88,False,0,0.00,
185,2025-12-26T15:54:33.478973,2025-12-26T15:54:33.486989,localhost:50052,1,SUCCESS,8.02,8.02,False,0,0.00,
186,2025-12-26T15:54:33.590545,2025-12-26T15:54:33.596563,localhost:50051,1,SUCCESS,6.02,6.02,False,0,0.00,
187,2025-12-26T15:54:33.699858,2025-12-26T15:54:33.709695,localhost:50052,1,SUCCESS,9.84,9.84,False,0,0.00,
188,2025-12-26T15:54:33.812196,2025-12-26T15:54:33.819212,localhost:50051,1,SUCCESS,7.02,7.02,False,0,0.00,
189,2025-12-26T15:54:33.922275,2025-12-26T15:54:33.929278,localhost:50052,1,SUCCESS,7.00,7.00,False,0,0.00,
190,2025-12-26T15:54:34.030174,2025-12-26T15:54:34.037132,localhost:50051,1,SUCCESS,6.96,6.96,False,0,0.00,
191,2025-12-26T15:54:34.140188,2025-12-26T15:54:34.147194,localhost:50052,1,SUCCESS,7.01,7.01,False,0,0.00,
192,2025-12-26T15:54:34.250629,2025-12-26T15:54:34.255660,localhost:50051,1,SUCCESS,5.03,5.03,False,0,0.00,
193,2025-12-26T15:54:34.361480,2025-12-26T15:54:34.368481,localhost:50052,1,SUCCESS,7.00,7.00,False,0,0.00,
194,2025-12-26T15:54:34.471676,2025-12-26T15:54:34.478189,localhost:50051,1,SUCCESS,6.51,6.51,False,0,0.00,
195,2025-12-26T15:54:34.582307,2025-12-26T15:54:34.590824,localhost:50052,1,SUCCESS,8.52,8.52,False,0,0.00,
196,2025-12-26T15:54:34.692948,2025-12-26T15:54:34.700469,localhost:50051,1,SUCCESS,7.52,7.52,False,0,0.00,
197,2025-12-26T15:54:34.802620,2025-12-26T15:54:34.808100,localhost:50052,1,SUCCESS,5.48,5.48,False,0,0.00,
198,2025-12-26T15:54:34.911941,2025-12-26T15:54:34.917464,localhost:50051,1,SUCCESS,5.52,5.52,False,0,0.00,
199,2025-12-26T15:54:35.018987,2025-12-26T15:54:35.023986,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
200,2025-12-26T15:54:35.127724,2025-12-26T15:54:35.132724,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
201,2025-12-26T15:54:35.236828,2025-12-26T15:54:35.241827,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
